"game_id","event_index","home_skaters_alt","away_skaters_alt","game_strength_state_alt","home_g_change","away_g_change","event_description_alt"
2019020001,484,5,0,"5v0",NA,"CRAIG.ANDERSON",NA
2019020001,485,0,0,"0v0","FREDERIK.ANDERSEN",NA,NA
2019020001,486,0,0,"0v0",NA,NA,NA
2019020001,487,0,0,"0v0",NA,NA,NA
2019020001,488,0,5,"0v5",NA,"CRAIG.ANDERSON",NA
2019020001,489,5,5,"5v5","FREDERIK.ANDERSEN",NA,NA
2019020001,490,5,5,"5v5",NA,NA,"Colin White faceoff won against John Tavares"
2019020001,491,5,5,"5v5",NA,NA,NA
2019020001,492,5,5,"5v5",NA,NA,NA
2019020001,493,5,5,"5v5",NA,NA,NA
2019020001,494,5,5,"5v5",NA,NA,"Cody Ceci Wide of Net"
2019020001,495,5,5,"5v5",NA,NA,NA
2019020001,496,5,5,"5v5",NA,NA,"John Tavares Wide of Net"
2019020001,497,5,5,"5v5",NA,NA,"Kasperi Kapanen hit Nikita Zaitsev"
2019020001,498,5,5,"5v5",NA,NA,NA
2019020001,499,5,5,"5v5",NA,NA,NA
2019020001,500,5,5,"5v5",NA,NA,NA
2019020001,501,5,5,"5v5",NA,NA,"Chris Tierney faceoff won against William Nylander"
2019020001,502,5,5,"5v5",NA,NA,"Jake Muzzin Wrist Shot saved by Craig Anderson"
2019020001,503,5,5,"5v5",NA,NA,NA
2019020001,504,5,5,"5v5",NA,NA,"Bobby Ryan faceoff won against Auston Matthews"
2019020001,505,5,5,"5v5",NA,NA,"Chris Tierney hit Jake Muzzin"
2019020001,506,5,5,"5v5",NA,NA,"Jake Muzzin Wide of Net"
2019020001,507,5,5,"5v5",NA,NA,"Andreas Johnsson Wrist Shot saved by Craig Anderson"
2019020001,508,5,5,"5v5",NA,NA,NA
2019020001,509,5,5,"5v5",NA,NA,NA
2019020001,510,5,5,"5v5",NA,NA,NA
2019020001,511,5,5,"5v5",NA,NA,NA
2019020001,512,5,5,"5v5",NA,NA,"Tyler Ennis hit Alexander Kerfoot"
2019020001,513,5,5,"5v5",NA,NA,NA
2019020001,514,5,5,"5v5",NA,NA,"Dylan DeMelo hit Alexander Kerfoot"
2019020001,515,5,5,"5v5",NA,NA,"Trevor Moore Snap Shot saved by Craig Anderson"
2019020001,516,5,5,"5v5",NA,NA,"Takeaway by Ilya Mikheyev"
2019020001,517,5,5,"5v5",NA,NA,NA
2019020001,518,5,5,"5v5",NA,NA,NA
2019020001,519,5,5,"5v5",NA,NA,"John Tavares faceoff won against Artem Anisimov"
2019020001,520,5,5,"5v5",NA,NA,"Tyson Barrie Wrist Shot saved by Craig Anderson"
2019020001,521,5,5,"5v5",NA,NA,NA
2019020001,522,5,5,"5v5",NA,NA,NA
2019020001,523,5,5,"5v5",NA,NA,NA
2019020001,524,5,5,"5v5",NA,NA,"Erik Brannstrom hit Mitchell Marner"
2019020001,525,5,5,"5v5",NA,NA,"Takeaway by John Tavares"
2019020001,526,5,5,"5v5",NA,NA,NA
2019020001,527,5,5,"5v5",NA,NA,NA
2019020001,528,5,5,"5v5",NA,NA,NA
2019020001,529,5,5,"5v5",NA,NA,NA
2019020001,530,5,5,"5v5",NA,NA,"Dmytro Timashov hit Filip Chlapik"
2019020001,531,5,5,"5v5",NA,NA,NA
2019020001,532,6,5,"Ev5","FREDERIK.ANDERSEN",NA,NA
2019020001,533,6,5,"Ev5",NA,NA,"Filip Chlapik Boarding against Nicholas Shore"
2019020001,534,6,4,"Ev4",NA,NA,NA
2019020001,535,5,4,"5v4","FREDERIK.ANDERSEN",NA,NA
2019020001,536,5,4,"5v4",NA,NA,"Auston Matthews faceoff won against Jean-Gabriel Pageau"
2019020001,537,5,4,"5v4",NA,NA,NA
2019020001,538,5,4,"5v4",NA,NA,"Andreas Johnsson Wrist Shot saved by Craig Anderson"
2019020001,539,5,4,"5v4",NA,NA,"Auston Matthews Slap Shot saved by Craig Anderson"
