"player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","game_period","shift_num","seconds_start","seconds_end","seconds_duration","shift_start","shift_end","duration","shift_mod"
"ILYA.MIKHEYEV","65 MIKHEYEV, ILYA","TOR65","R","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,2,18,2365,2400,35,"19:25","20:00","00:35",0
"TREVOR.MOORE","42 MOORE, TREVOR","TOR42","C","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,2,18,2365,2400,35,"19:25","20:00","00:35",0
"BRADY.TKACHUK","7 TKACHUK, BRADY","OTT7","L","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,17,2400,2433,33,"0:00","0:33","00:33",0
"COLIN.WHITE2","36 WHITE, COLIN","OTT36","C","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,17,2400,2433,33,"0:00","0:33","00:33",0
"CONNOR.BROWN","28 BROWN, CONNOR","OTT28","R","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,20,2400,2445,45,"0:00","0:45","00:45",0
"CRAIG.ANDERSON","41 ANDERSON, CRAIG","OTT41","G","G",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,3,2400,3483,1083,"0:00","18:03","18:03",0
"ERIK.BRANNSTROM","26 BRANNSTROM, ERIK","OTT26","D","D",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,15,2400,2428,28,"0:00","0:28","00:28",0
"RON.HAINSEY","81 HAINSEY, RON","OTT81","D","D",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,21,2400,2428,28,"0:00","0:28","00:28",0
"CODY.CECI","83 CECI, CODY","TOR83","D","D",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,19,2400,2441,41,"0:00","0:41","00:41",0
"FREDERIK.ANDERSEN","31 ANDERSEN, FREDERIK","TOR31","G","G",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,4,2400,2592,192,"0:00","3:12","03:12",0
"JOHN.TAVARES","91 TAVARES, JOHN","TOR91","C","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,18,2400,2445,45,"0:00","0:45","00:45",0
"KASPERI.KAPANEN","24 KAPANEN, KASPERI","TOR24","R","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,18,2400,2445,45,"0:00","0:45","00:45",0
"MITCH.MARNER","16 MARNER, MITCHELL","TOR16","C","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,19,2400,2441,41,"0:00","0:41","00:41",0
"MORGAN.RIELLY","44 RIELLY, MORGAN","TOR44","D","D",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,19,2400,2433,33,"0:00","0:33","00:33",0
"NIKITA.ZAITSEV","22 ZAITSEV, NIKITA","OTT22","D","D",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,21,2428,2493,65,"0:28","1:33","01:05",0
"THOMAS.CHABOT","72 CHABOT, THOMAS","OTT72","D","D",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,21,2428,2493,65,"0:28","1:33","01:05",0
"ANTHONY.DUCLAIR","10 DUCLAIR, ANTHONY","OTT10","L","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,19,2433,2493,60,"0:33","1:33","01:00",0
"CHRIS.TIERNEY","71 TIERNEY, CHRIS","OTT71","C","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,17,2433,2500,67,"0:33","1:40","01:07",0
"JAKE.MUZZIN","8 MUZZIN, JAKE","TOR8","D","D",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,21,2433,2511,78,"0:33","1:51","01:18",0
"TYSON.BARRIE","94 BARRIE, TYSON","TOR94","D","D",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,20,2441,2511,70,"0:41","1:51","01:10",0
"WILLIAM.NYLANDER","88 NYLANDER, WILLIAM","TOR88","C","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,17,2441,2501,60,"0:41","1:41","01:00",0
"BOBBY.RYAN","9 RYAN, BOBBY","OTT9","R","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,16,2445,2500,55,"0:45","1:40","00:55",0
"ANDREAS.JOHNSSON","18 JOHNSSON, ANDREAS","TOR18","L","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,16,2445,2493,48,"0:45","1:33","00:48",0
"AUSTON.MATTHEWS","34 MATTHEWS, AUSTON","TOR34","C","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,17,2445,2493,48,"0:45","1:33","00:48",0
"DYLAN.DEMELO","2 DEMELO, DYLAN","OTT2","D","D",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,3,19,2493,2544,51,"1:33","2:24","00:51",0
