"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2011020001",2011-10-06,"20112012","R","Final","PHI","BOS","TD Garden","2011-10-06T23:00:00Z","2011-10-06 19:00:00",2011-10-06
"2011020002",2011-10-06,"20112012","R","Final","MTL","TOR","Air Canada Centre","2011-10-06T23:00:00Z","2011-10-06 19:00:00",2011-10-06
"2011020003",2011-10-06,"20112012","R","Final","PIT","VAN","Rogers Arena","2011-10-07T02:00:00Z","2011-10-06 22:00:00",2011-10-06
"2011020007",2011-10-07,"20112012","R","Final","ANA","BUF","Hartwall Areena","2011-10-07T17:00:00Z","2011-10-07 13:00:00",2011-10-07
"2011020009",2011-10-07,"20112012","R","Final","NYR","L.A","Ericsson Globe","2011-10-07T17:00:00Z","2011-10-07 13:00:00",2011-10-07
"2011020004",2011-10-07,"20112012","R","Final","T.B","CAR","RBC Center","2011-10-07T23:00:00Z","2011-10-07 19:00:00",2011-10-07
"2011020005",2011-10-07,"20112012","R","Final","OTT","DET","Joe Louis Arena","2011-10-07T23:00:00Z","2011-10-07 19:00:00",2011-10-07
"2011020006",2011-10-07,"20112012","R","Final","NSH","CBJ","Nationwide Arena","2011-10-07T23:00:00Z","2011-10-07 19:00:00",2011-10-07
"2011020008",2011-10-07,"20112012","R","Final","CHI","DAL","American Airlines Center","2011-10-08T00:30:00Z","2011-10-07 20:30:00",2011-10-07
"2011020020",2011-10-08,"20112012","R","Final","NYR","ANA","Ericsson Globe","2011-10-08T17:00:00Z","2011-10-08 13:00:00",2011-10-08
"2011020022",2011-10-08,"20112012","R","Final","BUF","L.A","O2 Arena Berlin","2011-10-08T18:00:00Z","2011-10-08 14:00:00",2011-10-08
"2011020010",2011-10-08,"20112012","R","Final","T.B","BOS","TD Garden","2011-10-08T23:00:00Z","2011-10-08 19:00:00",2011-10-08
"2011020011",2011-10-08,"20112012","R","Final","OTT","TOR","Air Canada Centre","2011-10-08T23:00:00Z","2011-10-08 19:00:00",2011-10-08
"2011020012",2011-10-08,"20112012","R","Final","PHI","N.J","Prudential Center","2011-10-08T23:00:00Z","2011-10-08 19:00:00",2011-10-08
"2011020013",2011-10-08,"20112012","R","Final","CAR","WSH","Verizon Center","2011-10-08T23:00:00Z","2011-10-08 19:00:00",2011-10-08
"2011020014",2011-10-08,"20112012","R","Final","FLA","NYI","Nassau Coliseum","2011-10-09T00:00:00Z","2011-10-08 20:00:00",2011-10-08
"2011020015",2011-10-08,"20112012","R","Final","NSH","STL","Scottrade Center","2011-10-09T00:00:00Z","2011-10-08 20:00:00",2011-10-08
"2011020016",2011-10-08,"20112012","R","Final","CBJ","MIN","Xcel Energy Center","2011-10-09T00:00:00Z","2011-10-08 20:00:00",2011-10-08
"2011020017",2011-10-08,"20112012","R","Final","DAL","CHI","United Center","2011-10-09T00:30:00Z","2011-10-08 20:30:00",2011-10-08
"2011020018",2011-10-08,"20112012","R","Final","DET","COL","Pepsi Center","2011-10-09T01:00:00Z","2011-10-08 21:00:00",2011-10-08
"2011020019",2011-10-08,"20112012","R","Final","PIT","CGY","Scotiabank Saddledome","2011-10-09T02:00:00Z","2011-10-08 22:00:00",2011-10-08
"2011020021",2011-10-08,"20112012","R","Final","ARI","S.J","HP Pavilion at San Jose","2011-10-09T02:30:00Z","2011-10-08 22:30:00",2011-10-08
"2011020023",2011-10-09,"20112012","R","Final","MTL","WPG","MTS Centre","2011-10-09T21:00:00Z","2011-10-09 17:00:00",2011-10-09
"2011020024",2011-10-09,"20112012","R","Final","PIT","EDM","Rexall Place","2011-10-10T01:00:00Z","2011-10-09 21:00:00",2011-10-09
"2011020025",2011-10-10,"20112012","R","Final","COL","BOS","TD Garden","2011-10-10T17:00:00Z","2011-10-10 13:00:00",2011-10-10
"2011020026",2011-10-10,"20112012","R","Final","CAR","N.J","Prudential Center","2011-10-10T17:00:00Z","2011-10-10 13:00:00",2011-10-10
"2011020027",2011-10-10,"20112012","R","Final","MIN","NYI","Nassau Coliseum","2011-10-10T17:00:00Z","2011-10-10 13:00:00",2011-10-10
"2011020028",2011-10-10,"20112012","R","Final","CGY","STL","Scottrade Center","2011-10-10T18:00:00Z","2011-10-10 14:00:00",2011-10-10
"2011020031",2011-10-10,"20112012","R","Final","ARI","DAL","American Airlines Center","2011-10-10T22:00:00Z","2011-10-10 18:00:00",2011-10-10
"2011020029",2011-10-10,"20112012","R","Final","T.B","WSH","Verizon Center","2011-10-10T23:00:00Z","2011-10-10 19:00:00",2011-10-10
"2011020030",2011-10-10,"20112012","R","Final","VAN","CBJ","Nationwide Arena","2011-10-10T23:00:00Z","2011-10-10 19:00:00",2011-10-10
"2011020032",2011-10-11,"20112012","R","Final","FLA","PIT","CONSOL Energy Center","2011-10-11T23:30:00Z","2011-10-11 19:30:00",2011-10-11
"2011020033",2011-10-11,"20112012","R","Final","MIN","OTT","Scotiabank Place","2011-10-11T23:30:00Z","2011-10-11 19:30:00",2011-10-11
"2011020034",2011-10-12,"20112012","R","Final","COL","CBJ","Nationwide Arena","2011-10-12T23:00:00Z","2011-10-12 19:00:00",2011-10-12
"2011020035",2011-10-12,"20112012","R","Final","VAN","PHI","Wells Fargo Center","2011-10-12T23:30:00Z","2011-10-12 19:30:00",2011-10-12
"2011020036",2011-10-12,"20112012","R","Final","BOS","CAR","RBC Center","2011-10-12T23:30:00Z","2011-10-12 19:30:00",2011-10-12
"2011020037",2011-10-13,"20112012","R","Final","L.A","N.J","Prudential Center","2011-10-13T23:00:00Z","2011-10-13 19:00:00",2011-10-13
"2011020038",2011-10-13,"20112012","R","Final","T.B","NYI","Nassau Coliseum","2011-10-13T23:00:00Z","2011-10-13 19:00:00",2011-10-13
"2011020039",2011-10-13,"20112012","R","Final","WSH","PIT","CONSOL Energy Center","2011-10-13T23:00:00Z","2011-10-13 19:00:00",2011-10-13
"2011020040",2011-10-13,"20112012","R","Final","CGY","MTL","Centre Bell","2011-10-13T23:30:00Z","2011-10-13 19:30:00",2011-10-13
"2011020041",2011-10-13,"20112012","R","Final","COL","OTT","Scotiabank Place","2011-10-13T23:30:00Z","2011-10-13 19:30:00",2011-10-13
"2011020042",2011-10-13,"20112012","R","Final","VAN","DET","Joe Louis Arena","2011-10-14T00:00:00Z","2011-10-13 20:00:00",2011-10-13
"2011020043",2011-10-13,"20112012","R","Final","ARI","NSH","Bridgestone Arena","2011-10-14T00:00:00Z","2011-10-13 20:00:00",2011-10-13
"2011020044",2011-10-13,"20112012","R","Final","EDM","MIN","Xcel Energy Center","2011-10-14T00:00:00Z","2011-10-13 20:00:00",2011-10-13
"2011020045",2011-10-13,"20112012","R","Final","WPG","CHI","United Center","2011-10-14T00:30:00Z","2011-10-13 20:30:00",2011-10-13
"2011020046",2011-10-13,"20112012","R","Final","STL","DAL","American Airlines Center","2011-10-14T00:30:00Z","2011-10-13 20:30:00",2011-10-13
"2011020047",2011-10-14,"20112012","R","Final","CAR","BUF","First Niagara Center","2011-10-14T23:30:00Z","2011-10-14 19:30:00",2011-10-14
"2011020048",2011-10-14,"20112012","R","Final","S.J","ANA","Honda Center","2011-10-15T02:00:00Z","2011-10-14 22:00:00",2011-10-14
"2011020049",2011-10-15,"20112012","R","Final","CGY","TOR","Air Canada Centre","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020050",2011-10-15,"20112012","R","Final","COL","MTL","Centre Bell","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020051",2011-10-15,"20112012","R","Final","NYR","NYI","Nassau Coliseum","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020052",2011-10-15,"20112012","R","Final","L.A","PHI","Wells Fargo Center","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020053",2011-10-15,"20112012","R","Final","BUF","PIT","CONSOL Energy Center","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020054",2011-10-15,"20112012","R","Final","OTT","WSH","Verizon Center","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020055",2011-10-15,"20112012","R","Final","WPG","ARI","Jobing.com Arena","2011-10-15T23:00:00Z","2011-10-15 19:00:00",2011-10-15
"2011020056",2011-10-15,"20112012","R","Final","T.B","FLA","BankAtlantic Center","2011-10-15T23:30:00Z","2011-10-15 19:30:00",2011-10-15
"2011020057",2011-10-15,"20112012","R","Final","N.J","NSH","Bridgestone Arena","2011-10-16T00:00:00Z","2011-10-15 20:00:00",2011-10-15
