"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2013020001",2013-10-01,"20132014","R","Final","TOR","MTL","Centre Bell","2013-10-01T23:00:00Z","2013-10-01 19:00:00",2013-10-01
"2013020002",2013-10-01,"20132014","R","Final","WSH","CHI","United Center","2013-10-02T00:00:00Z","2013-10-01 20:00:00",2013-10-01
"2013020003",2013-10-01,"20132014","R","Final","WPG","EDM","Rexall Place","2013-10-02T02:00:00Z","2013-10-01 22:00:00",2013-10-01
"2013020004",2013-10-02,"20132014","R","Final","TOR","PHI","Wells Fargo Center","2013-10-02T23:30:00Z","2013-10-02 19:30:00",2013-10-02
"2013020005",2013-10-02,"20132014","R","Final","BUF","DET","Joe Louis Arena","2013-10-03T00:00:00Z","2013-10-02 20:00:00",2013-10-02
"2013020006",2013-10-02,"20132014","R","Final","ANA","COL","Pepsi Center","2013-10-03T01:30:00Z","2013-10-02 21:30:00",2013-10-02
"2013020007",2013-10-03,"20132014","R","Final","T.B","BOS","TD Garden","2013-10-03T23:00:00Z","2013-10-03 19:00:00",2013-10-03
"2013020008",2013-10-03,"20132014","R","Final","N.J","PIT","CONSOL Energy Center","2013-10-03T23:00:00Z","2013-10-03 19:00:00",2013-10-03
"2013020009",2013-10-03,"20132014","R","Final","CGY","WSH","Verizon Center","2013-10-03T23:00:00Z","2013-10-03 19:00:00",2013-10-03
"2013020011",2013-10-03,"20132014","R","Final","L.A","MIN","Xcel Energy Center","2013-10-04T00:00:00Z","2013-10-03 20:00:00",2013-10-03
"2013020010",2013-10-03,"20132014","R","Final","NSH","STL","Scottrade Center","2013-10-04T00:30:00Z","2013-10-03 20:30:00",2013-10-03
"2013020012",2013-10-03,"20132014","R","Final","FLA","DAL","American Airlines Center","2013-10-04T00:30:00Z","2013-10-03 20:30:00",2013-10-03
"2013020013",2013-10-03,"20132014","R","Final","NYR","ARI","Jobing.com Arena","2013-10-04T02:00:00Z","2013-10-03 22:00:00",2013-10-03
"2013020014",2013-10-03,"20132014","R","Final","VAN","S.J","SAP Center at San Jose","2013-10-04T02:00:00Z","2013-10-03 22:00:00",2013-10-03
"2013020015",2013-10-04,"20132014","R","Final","OTT","BUF","First Niagara Center","2013-10-04T23:00:00Z","2013-10-04 19:00:00",2013-10-04
"2013020016",2013-10-04,"20132014","R","Final","NYI","N.J","Prudential Center","2013-10-04T23:00:00Z","2013-10-04 19:00:00",2013-10-04
"2013020017",2013-10-04,"20132014","R","Final","DET","CAR","PNC Arena","2013-10-04T23:00:00Z","2013-10-04 19:00:00",2013-10-04
"2013020018",2013-10-04,"20132014","R","Final","CGY","CBJ","Nationwide Arena","2013-10-04T23:00:00Z","2013-10-04 19:00:00",2013-10-04
"2013020019",2013-10-04,"20132014","R","Final","L.A","WPG","MTS Centre","2013-10-05T00:00:00Z","2013-10-04 20:00:00",2013-10-04
"2013020020",2013-10-04,"20132014","R","Final","NSH","COL","Pepsi Center","2013-10-05T01:00:00Z","2013-10-04 21:00:00",2013-10-04
"2013020021",2013-10-05,"20132014","R","Final","DET","BOS","TD Garden","2013-10-05T23:00:00Z","2013-10-05 19:00:00",2013-10-05
"2013020022",2013-10-05,"20132014","R","Final","OTT","TOR","Air Canada Centre","2013-10-05T23:00:00Z","2013-10-05 19:00:00",2013-10-05
"2013020023",2013-10-05,"20132014","R","Final","PHI","MTL","Centre Bell","2013-10-05T23:00:00Z","2013-10-05 19:00:00",2013-10-05
"2013020024",2013-10-05,"20132014","R","Final","CBJ","NYI","Nassau Coliseum","2013-10-05T23:00:00Z","2013-10-05 19:00:00",2013-10-05
"2013020025",2013-10-05,"20132014","R","Final","BUF","PIT","CONSOL Energy Center","2013-10-05T23:00:00Z","2013-10-05 19:00:00",2013-10-05
"2013020026",2013-10-05,"20132014","R","Final","T.B","CHI","United Center","2013-10-06T00:00:00Z","2013-10-05 20:00:00",2013-10-05
"2013020027",2013-10-05,"20132014","R","Final","FLA","STL","Scottrade Center","2013-10-06T00:00:00Z","2013-10-05 20:00:00",2013-10-05
"2013020028",2013-10-05,"20132014","R","Final","WSH","DAL","American Airlines Center","2013-10-06T00:00:00Z","2013-10-05 20:00:00",2013-10-05
"2013020029",2013-10-05,"20132014","R","Final","ANA","MIN","Xcel Energy Center","2013-10-06T00:00:00Z","2013-10-05 20:00:00",2013-10-05
"2013020030",2013-10-05,"20132014","R","Final","EDM","VAN","Rogers Arena","2013-10-06T02:00:00Z","2013-10-05 22:00:00",2013-10-05
"2013020031",2013-10-05,"20132014","R","Final","ARI","S.J","SAP Center at San Jose","2013-10-06T02:30:00Z","2013-10-05 22:30:00",2013-10-05
"2013020032",2013-10-06,"20132014","R","Final","PHI","CAR","PNC Arena","2013-10-06T21:00:00Z","2013-10-06 17:00:00",2013-10-06
"2013020033",2013-10-06,"20132014","R","Final","ANA","WPG","MTS Centre","2013-10-07T00:00:00Z","2013-10-06 20:00:00",2013-10-06
"2013020034",2013-10-06,"20132014","R","Final","VAN","CGY","Scotiabank Saddledome","2013-10-07T00:00:00Z","2013-10-06 20:00:00",2013-10-06
"2013020035",2013-10-07,"20132014","R","Final","N.J","EDM","Rexall Place","2013-10-08T01:30:00Z","2013-10-07 21:30:00",2013-10-07
"2013020036",2013-10-07,"20132014","R","Final","NYR","L.A","STAPLES Center","2013-10-08T02:30:00Z","2013-10-07 22:30:00",2013-10-07
"2013020037",2013-10-08,"20132014","R","Final","COL","TOR","Air Canada Centre","2013-10-08T23:00:00Z","2013-10-08 19:00:00",2013-10-08
"2013020038",2013-10-08,"20132014","R","Final","ARI","NYI","Nassau Coliseum","2013-10-08T23:00:00Z","2013-10-08 19:00:00",2013-10-08
"2013020039",2013-10-08,"20132014","R","Final","FLA","PHI","Wells Fargo Center","2013-10-08T23:00:00Z","2013-10-08 19:00:00",2013-10-08
"2013020040",2013-10-08,"20132014","R","Final","CAR","PIT","CONSOL Energy Center","2013-10-08T23:00:00Z","2013-10-08 19:00:00",2013-10-08
"2013020041",2013-10-08,"20132014","R","Final","T.B","BUF","First Niagara Center","2013-10-08T23:30:00Z","2013-10-08 19:30:00",2013-10-08
"2013020042",2013-10-08,"20132014","R","Final","MIN","NSH","Bridgestone Arena","2013-10-09T00:00:00Z","2013-10-08 20:00:00",2013-10-08
"2013020043",2013-10-08,"20132014","R","Final","N.J","VAN","Rogers Arena","2013-10-09T02:00:00Z","2013-10-08 22:00:00",2013-10-08
"2013020044",2013-10-08,"20132014","R","Final","NYR","S.J","SAP Center at San Jose","2013-10-09T02:30:00Z","2013-10-08 22:30:00",2013-10-08
"2013020045",2013-10-09,"20132014","R","Final","CHI","STL","Scottrade Center","2013-10-10T00:00:00Z","2013-10-09 20:00:00",2013-10-09
"2013020046",2013-10-09,"20132014","R","Final","MTL","CGY","Scotiabank Saddledome","2013-10-10T00:00:00Z","2013-10-09 20:00:00",2013-10-09
"2013020047",2013-10-09,"20132014","R","Final","OTT","L.A","STAPLES Center","2013-10-10T02:30:00Z","2013-10-09 22:30:00",2013-10-09
"2013020048",2013-10-10,"20132014","R","Final","COL","BOS","TD Garden","2013-10-10T23:00:00Z","2013-10-10 19:00:00",2013-10-10
"2013020049",2013-10-10,"20132014","R","Final","CBJ","BUF","First Niagara Center","2013-10-10T23:00:00Z","2013-10-10 19:00:00",2013-10-10
"2013020050",2013-10-10,"20132014","R","Final","CAR","WSH","Verizon Center","2013-10-10T23:00:00Z","2013-10-10 19:00:00",2013-10-10
"2013020051",2013-10-10,"20132014","R","Final","ARI","DET","Joe Louis Arena","2013-10-10T23:30:00Z","2013-10-10 19:30:00",2013-10-10
"2013020052",2013-10-10,"20132014","R","Final","FLA","T.B","Tampa Bay Times Forum","2013-10-10T23:30:00Z","2013-10-10 19:30:00",2013-10-10
"2013020053",2013-10-10,"20132014","R","Final","TOR","NSH","Bridgestone Arena","2013-10-11T00:00:00Z","2013-10-10 20:00:00",2013-10-10
"2013020054",2013-10-10,"20132014","R","Final","WPG","MIN","Xcel Energy Center","2013-10-11T00:00:00Z","2013-10-10 20:00:00",2013-10-10
"2013020055",2013-10-10,"20132014","R","Final","MTL","EDM","Rexall Place","2013-10-11T01:30:00Z","2013-10-10 21:30:00",2013-10-10
"2013020056",2013-10-10,"20132014","R","Final","S.J","VAN","Rogers Arena","2013-10-11T02:00:00Z","2013-10-10 22:00:00",2013-10-10
"2013020057",2013-10-10,"20132014","R","Final","NYR","ANA","Honda Center","2013-10-11T02:00:00Z","2013-10-10 22:00:00",2013-10-10
"2013020058",2013-10-11,"20132014","R","Final","ARI","PHI","Wells Fargo Center","2013-10-11T23:00:00Z","2013-10-11 19:00:00",2013-10-11
"2013020059",2013-10-11,"20132014","R","Final","L.A","CAR","PNC Arena","2013-10-11T23:00:00Z","2013-10-11 19:00:00",2013-10-11
"2013020060",2013-10-11,"20132014","R","Final","PIT","FLA","BB&T Center","2013-10-11T23:30:00Z","2013-10-11 19:30:00",2013-10-11
"2013020061",2013-10-11,"20132014","R","Final","NYI","CHI","United Center","2013-10-12T00:00:00Z","2013-10-11 20:00:00",2013-10-11
"2013020062",2013-10-11,"20132014","R","Final","DAL","WPG","MTS Centre","2013-10-12T00:00:00Z","2013-10-11 20:00:00",2013-10-11
"2013020063",2013-10-11,"20132014","R","Final","N.J","CGY","Scotiabank Saddledome","2013-10-12T01:00:00Z","2013-10-11 21:00:00",2013-10-11
"2013020068",2013-10-12,"20132014","R","Final","BOS","CBJ","Nationwide Arena","2013-10-12T18:00:00Z","2013-10-12 14:00:00",2013-10-12
