"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2015020001",2015-10-07,"20152016","R","Final","MTL","TOR","Air Canada Centre","2015-10-07T23:00:00Z","2015-10-07 19:00:00",2015-10-07
"2015020002",2015-10-07,"20152016","R","Final","NYR","CHI","United Center","2015-10-08T00:00:00Z","2015-10-07 20:00:00",2015-10-07
"2015020003",2015-10-07,"20152016","R","Final","VAN","CGY","Scotiabank Saddledome","2015-10-08T02:00:00Z","2015-10-07 22:00:00",2015-10-07
"2015020004",2015-10-07,"20152016","R","Final","S.J","L.A","STAPLES Center","2015-10-08T02:30:00Z","2015-10-07 22:30:00",2015-10-07
"2015020005",2015-10-08,"20152016","R","Final","WPG","BOS","TD Garden","2015-10-08T23:00:00Z","2015-10-08 19:00:00",2015-10-08
"2015020006",2015-10-08,"20152016","R","Final","OTT","BUF","First Niagara Center","2015-10-08T23:00:00Z","2015-10-08 19:00:00",2015-10-08
"2015020007",2015-10-08,"20152016","R","Final","PHI","T.B","Amalie Arena","2015-10-08T23:30:00Z","2015-10-08 19:30:00",2015-10-08
"2015020008",2015-10-08,"20152016","R","Final","EDM","STL","Scottrade Center","2015-10-09T00:00:00Z","2015-10-08 20:00:00",2015-10-08
"2015020009",2015-10-08,"20152016","R","Final","CAR","NSH","Bridgestone Arena","2015-10-09T00:00:00Z","2015-10-08 20:00:00",2015-10-08
"2015020010",2015-10-08,"20152016","R","Final","PIT","DAL","American Airlines Center","2015-10-09T00:30:00Z","2015-10-08 20:30:00",2015-10-08
"2015020011",2015-10-08,"20152016","R","Final","MIN","COL","Pepsi Center","2015-10-09T01:00:00Z","2015-10-08 21:00:00",2015-10-08
"2015020012",2015-10-09,"20152016","R","Final","WPG","N.J","Prudential Center","2015-10-09T23:00:00Z","2015-10-09 19:00:00",2015-10-09
"2015020013",2015-10-09,"20152016","R","Final","NYR","CBJ","Nationwide Arena","2015-10-09T23:00:00Z","2015-10-09 19:00:00",2015-10-09
"2015020014",2015-10-09,"20152016","R","Final","TOR","DET","Joe Louis Arena","2015-10-09T23:30:00Z","2015-10-09 19:30:00",2015-10-09
"2015020015",2015-10-09,"20152016","R","Final","CHI","NYI","Barclays Center","2015-10-09T23:30:00Z","2015-10-09 19:30:00",2015-10-09
"2015020016",2015-10-09,"20152016","R","Final","ARI","L.A","STAPLES Center","2015-10-10T02:30:00Z","2015-10-09 22:30:00",2015-10-09
"2015020017",2015-10-10,"20152016","R","Final","T.B","BUF","First Niagara Center","2015-10-10T17:00:00Z","2015-10-10 13:00:00",2015-10-10
"2015020018",2015-10-10,"20152016","R","Final","MTL","BOS","TD Garden","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020019",2015-10-10,"20152016","R","Final","OTT","TOR","Air Canada Centre","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020020",2015-10-10,"20152016","R","Final","PHI","FLA","BB&T Center","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020021",2015-10-10,"20152016","R","Final","CBJ","NYR","Madison Square Garden","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020022",2015-10-10,"20152016","R","Final","N.J","WSH","Verizon Center","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020023",2015-10-10,"20152016","R","Final","DET","CAR","PNC Arena","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020024",2015-10-10,"20152016","R","Final","EDM","NSH","Bridgestone Arena","2015-10-10T23:00:00Z","2015-10-10 19:00:00",2015-10-10
"2015020025",2015-10-10,"20152016","R","Final","STL","MIN","Xcel Energy Center","2015-10-11T00:00:00Z","2015-10-10 20:00:00",2015-10-10
"2015020026",2015-10-10,"20152016","R","Final","NYI","CHI","United Center","2015-10-11T00:30:00Z","2015-10-10 20:30:00",2015-10-10
"2015020027",2015-10-10,"20152016","R","Final","DAL","COL","Pepsi Center","2015-10-11T01:00:00Z","2015-10-10 21:00:00",2015-10-10
"2015020028",2015-10-10,"20152016","R","Final","CGY","VAN","Rogers Arena","2015-10-11T02:00:00Z","2015-10-10 22:00:00",2015-10-10
"2015020029",2015-10-10,"20152016","R","Final","PIT","ARI","Gila River Arena","2015-10-11T02:00:00Z","2015-10-10 22:00:00",2015-10-10
"2015020030",2015-10-10,"20152016","R","Final","ANA","S.J","SAP Center at San Jose","2015-10-11T02:30:00Z","2015-10-10 22:30:00",2015-10-10
"2015020031",2015-10-11,"20152016","R","Final","MTL","OTT","Canadian Tire Centre","2015-10-11T23:00:00Z","2015-10-11 19:00:00",2015-10-11
