"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2006020001",2006-10-04,"20062007","R","Final","BUF","CAR","RBC Center","2006-10-04T23:00:00Z","2006-10-04 19:00:00",2006-10-04
"2006020002",2006-10-04,"20062007","R","Final","OTT","TOR","Air Canada Centre","2006-10-04T23:30:00Z","2006-10-04 19:30:00",2006-10-04
"2006020003",2006-10-04,"20062007","R","Final","DAL","COL","Pepsi Center","2006-10-05T02:00:00Z","2006-10-04 22:00:00",2006-10-04
"2006020004",2006-10-05,"20062007","R","Final","TOR","OTT","Scotiabank Place","2006-10-05T23:00:00Z","2006-10-05 19:00:00",2006-10-05
"2006020005",2006-10-05,"20062007","R","Final","WSH","NYR","Madison Square Garden","2006-10-05T23:00:00Z","2006-10-05 19:00:00",2006-10-05
"2006020006",2006-10-05,"20062007","R","Final","T.B","ATL","Philips Arena","2006-10-05T23:00:00Z","2006-10-05 19:00:00",2006-10-05
"2006020008",2006-10-05,"20062007","R","Final","VAN","DET","Joe Louis Arena","2006-10-05T23:00:00Z","2006-10-05 19:00:00",2006-10-05
"2006020007",2006-10-05,"20062007","R","Final","PHI","PIT","Mellon Arena","2006-10-05T23:30:00Z","2006-10-05 19:30:00",2006-10-05
"2006020009",2006-10-05,"20062007","R","Final","CHI","NSH","Gaylord Entertainment Center","2006-10-06T00:00:00Z","2006-10-05 20:00:00",2006-10-05
"2006020010",2006-10-05,"20062007","R","Final","COL","MIN","Xcel Energy Center","2006-10-06T00:30:00Z","2006-10-05 20:30:00",2006-10-05
"2006020011",2006-10-05,"20062007","R","Final","CGY","EDM","Rexall Place","2006-10-06T02:00:00Z","2006-10-05 22:00:00",2006-10-05
"2006020012",2006-10-05,"20062007","R","Final","NYI","ARI","Glendale Arena","2006-10-06T02:00:00Z","2006-10-05 22:00:00",2006-10-05
"2006020013",2006-10-05,"20062007","R","Final","STL","S.J","HP Pavilion at San Jose","2006-10-06T02:30:00Z","2006-10-05 22:30:00",2006-10-05
"2006020014",2006-10-06,"20062007","R","Final","N.J","CAR","RBC Center","2006-10-06T23:00:00Z","2006-10-06 19:00:00",2006-10-06
"2006020015",2006-10-06,"20062007","R","Final","VAN","CBJ","Nationwide Arena","2006-10-06T23:00:00Z","2006-10-06 19:00:00",2006-10-06
"2006020016",2006-10-06,"20062007","R","Final","BOS","FLA","BankAtlantic Center","2006-10-06T23:30:00Z","2006-10-06 19:30:00",2006-10-06
