"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2003020001",2003-10-08,"20032004","R","Final","N.J","BOS","FleetCenter","2003-10-09T00:00:00Z","2003-10-08 20:00:00",2003-10-08
"2003020002",2003-10-08,"20032004","R","Final","ANA","DAL","American Airlines Center","2003-10-09T00:00:00Z","2003-10-08 20:00:00",2003-10-08
"2003020003",2003-10-08,"20032004","R","Final","MIN","CHI","United Center","2003-10-09T00:00:00Z","2003-10-08 20:00:00",2003-10-08
"2003020004",2003-10-09,"20032004","R","Final","MTL","OTT","Corel Centre","2003-10-09T23:00:00Z","2003-10-09 19:00:00",2003-10-09
"2003020005",2003-10-09,"20032004","R","Final","BUF","PHI","Wachovia Center","2003-10-09T23:00:00Z","2003-10-09 19:00:00",2003-10-09
"2003020006",2003-10-09,"20032004","R","Final","NYI","WSH","MCI Center","2003-10-09T23:00:00Z","2003-10-09 19:00:00",2003-10-09
"2003020007",2003-10-09,"20032004","R","Final","CBJ","ATL","Philips Arena","2003-10-09T23:30:00Z","2003-10-09 19:30:00",2003-10-09
"2003020008",2003-10-09,"20032004","R","Final","CAR","FLA","Office Depot Center","2003-10-09T23:30:00Z","2003-10-09 19:30:00",2003-10-09
"2003020009",2003-10-09,"20032004","R","Final","L.A","DET","Joe Louis Arena","2003-10-09T23:30:00Z","2003-10-09 19:30:00",2003-10-09
"2003020010",2003-10-09,"20032004","R","Final","ANA","NSH","Gaylord Entertainment Center","2003-10-10T00:00:00Z","2003-10-09 20:00:00",2003-10-09
"2003020011",2003-10-09,"20032004","R","Final","S.J","EDM","Rexall Place","2003-10-10T01:00:00Z","2003-10-09 21:00:00",2003-10-09
"2003020012",2003-10-09,"20032004","R","Final","CGY","VAN","General Motors Place","2003-10-10T02:30:00Z","2003-10-09 22:30:00",2003-10-09
"2003020013",2003-10-10,"20032004","R","Final","L.A","PIT","Mellon Arena","2003-10-10T23:30:00Z","2003-10-10 19:30:00",2003-10-10
"2003020014",2003-10-10,"20032004","R","Final","BOS","T.B","St. Pete Times Forum","2003-10-10T23:30:00Z","2003-10-10 19:30:00",2003-10-10
"2003020015",2003-10-10,"20032004","R","Final","NYR","MIN","Xcel Energy Center","2003-10-11T00:30:00Z","2003-10-10 20:30:00",2003-10-10
"2003020016",2003-10-10,"20032004","R","Final","CHI","COL","Pepsi Center","2003-10-11T01:00:00Z","2003-10-10 21:00:00",2003-10-10
"2003020017",2003-10-10,"20032004","R","Final","STL","ARI","America West Arena","2003-10-11T02:00:00Z","2003-10-10 22:00:00",2003-10-10
"2003020018",2003-10-11,"20032004","R","Final","NYI","BUF","HSBC Arena","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020019",2003-10-11,"20032004","R","Final","MTL","TOR","Air Canada Centre","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020020",2003-10-11,"20032004","R","Final","DET","OTT","Corel Centre","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020021",2003-10-11,"20032004","R","Final","PIT","PHI","Wachovia Center","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020022",2003-10-11,"20032004","R","Final","ATL","WSH","MCI Center","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020023",2003-10-11,"20032004","R","Final","N.J","CAR","RBC Center","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020024",2003-10-11,"20032004","R","Final","NYR","CBJ","Nationwide Arena","2003-10-11T23:00:00Z","2003-10-11 19:00:00",2003-10-11
"2003020025",2003-10-11,"20032004","R","Final","BOS","FLA","Office Depot Center","2003-10-11T23:30:00Z","2003-10-11 19:30:00",2003-10-11
"2003020026",2003-10-11,"20032004","R","Final","DAL","NSH","Gaylord Entertainment Center","2003-10-12T00:00:00Z","2003-10-11 20:00:00",2003-10-11
"2003020027",2003-10-11,"20032004","R","Final","S.J","CGY","Pengrowth Saddledome","2003-10-12T01:00:00Z","2003-10-11 21:00:00",2003-10-11
"2003020028",2003-10-11,"20032004","R","Final","EDM","VAN","General Motors Place","2003-10-12T02:00:00Z","2003-10-11 22:00:00",2003-10-11
"2003020029",2003-10-12,"20032004","R","Final","L.A","CHI","United Center","2003-10-12T23:00:00Z","2003-10-12 19:00:00",2003-10-12
"2003020030",2003-10-12,"20032004","R","Final","S.J","MIN","Xcel Energy Center","2003-10-13T00:00:00Z","2003-10-12 20:00:00",2003-10-12
"2003020031",2003-10-12,"20032004","R","Final","ARI","ANA","Arrowhead Pond","2003-10-13T00:00:00Z","2003-10-12 20:00:00",2003-10-12
"2003020032",2003-10-12,"20032004","R","Final","STL","COL","Pepsi Center","2003-10-13T01:00:00Z","2003-10-12 21:00:00",2003-10-12
"2003020033",2003-10-13,"20032004","R","Final","DAL","BUF","HSBC Arena","2003-10-13T20:00:00Z","2003-10-13 16:00:00",2003-10-13
"2003020034",2003-10-13,"20032004","R","Final","FLA","CAR","RBC Center","2003-10-13T23:00:00Z","2003-10-13 19:00:00",2003-10-13
"2003020035",2003-10-13,"20032004","R","Final","VAN","CBJ","Nationwide Arena","2003-10-13T23:00:00Z","2003-10-13 19:00:00",2003-10-13
"2003020036",2003-10-13,"20032004","R","Final","WSH","TOR","Air Canada Centre","2003-10-13T23:30:00Z","2003-10-13 19:30:00",2003-10-13
"2003020037",2003-10-14,"20032004","R","Final","WSH","MTL","Centre Bell","2003-10-14T23:30:00Z","2003-10-14 19:30:00",2003-10-14
"2003020038",2003-10-14,"20032004","R","Final","NYI","ATL","Philips Arena","2003-10-14T23:30:00Z","2003-10-14 19:30:00",2003-10-14
"2003020039",2003-10-14,"20032004","R","Final","EDM","CGY","Pengrowth Saddledome","2003-10-15T02:00:00Z","2003-10-14 22:00:00",2003-10-14
"2003020040",2003-10-15,"20032004","R","Final","ARI","FLA","Office Depot Center","2003-10-15T23:30:00Z","2003-10-15 19:30:00",2003-10-15
"2003020041",2003-10-15,"20032004","R","Final","BOS","DAL","American Airlines Center","2003-10-16T00:30:00Z","2003-10-15 20:30:00",2003-10-15
"2003020042",2003-10-15,"20032004","R","Final","OTT","L.A","STAPLES Center","2003-10-16T02:30:00Z","2003-10-15 22:30:00",2003-10-15
"2003020043",2003-10-16,"20032004","R","Final","ATL","NYR","Madison Square Garden","2003-10-16T23:00:00Z","2003-10-16 19:00:00",2003-10-16
"2003020044",2003-10-16,"20032004","R","Final","ARI","T.B","St. Pete Times Forum","2003-10-16T23:00:00Z","2003-10-16 19:00:00",2003-10-16
"2003020045",2003-10-16,"20032004","R","Final","CHI","CBJ","Nationwide Arena","2003-10-16T23:00:00Z","2003-10-16 19:00:00",2003-10-16
"2003020046",2003-10-16,"20032004","R","Final","PIT","MTL","Centre Bell","2003-10-16T23:30:00Z","2003-10-16 19:30:00",2003-10-16
"2003020047",2003-10-16,"20032004","R","Final","TOR","N.J","Continental Airlines Arena","2003-10-16T23:30:00Z","2003-10-16 19:30:00",2003-10-16
"2003020048",2003-10-16,"20032004","R","Final","VAN","DET","Joe Louis Arena","2003-10-16T23:30:00Z","2003-10-16 19:30:00",2003-10-16
"2003020049",2003-10-16,"20032004","R","Final","COL","MIN","Xcel Energy Center","2003-10-16T23:30:00Z","2003-10-16 19:30:00",2003-10-16
"2003020050",2003-10-16,"20032004","R","Final","STL","NSH","Gaylord Entertainment Center","2003-10-17T00:00:00Z","2003-10-16 20:00:00",2003-10-16
"2003020051",2003-10-16,"20032004","R","Final","BUF","EDM","Rexall Place","2003-10-17T01:00:00Z","2003-10-16 21:00:00",2003-10-16
"2003020052",2003-10-16,"20032004","R","Final","PHI","S.J","HP Pavilion at San Jose","2003-10-17T02:30:00Z","2003-10-16 22:30:00",2003-10-16
"2003020053",2003-10-17,"20032004","R","Final","WSH","DAL","American Airlines Center","2003-10-18T00:30:00Z","2003-10-17 20:30:00",2003-10-17
"2003020054",2003-10-17,"20032004","R","Final","OTT","ANA","Arrowhead Pond","2003-10-18T02:30:00Z","2003-10-17 22:30:00",2003-10-17
"2003020055",2003-10-18,"20032004","R","Final","TOR","MTL","Centre Bell","2003-10-18T23:00:00Z","2003-10-18 19:00:00",2003-10-18
"2003020056",2003-10-18,"20032004","R","Final","FLA","NYI","Nassau Coliseum","2003-10-18T23:00:00Z","2003-10-18 19:00:00",2003-10-18
"2003020057",2003-10-18,"20032004","R","Final","CAR","NYR","Madison Square Garden","2003-10-18T23:00:00Z","2003-10-18 19:00:00",2003-10-18
