"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2018020001",2018-10-03,"20182019","R","Final","MTL","TOR","Scotiabank Arena","2018-10-03T23:00:00Z","2018-10-03 19:00:00",2018-10-03
"2018020002",2018-10-03,"20182019","R","Final","BOS","WSH","Capital One Arena","2018-10-03T23:30:00Z","2018-10-03 19:30:00",2018-10-03
"2018020003",2018-10-03,"20182019","R","Final","CGY","VAN","Rogers Arena","2018-10-04T02:00:00Z","2018-10-03 22:00:00",2018-10-03
"2018020004",2018-10-03,"20182019","R","Final","ANA","S.J","SAP Center at San Jose","2018-10-04T02:30:00Z","2018-10-03 22:30:00",2018-10-03
"2018020005",2018-10-04,"20182019","R","Final","BOS","BUF","KeyBank Center","2018-10-04T23:00:00Z","2018-10-04 19:00:00",2018-10-04
"2018020007",2018-10-04,"20182019","R","Final","WSH","PIT","PPG Paints Arena","2018-10-04T23:00:00Z","2018-10-04 19:00:00",2018-10-04
"2018020008",2018-10-04,"20182019","R","Final","NYI","CAR","PNC Arena","2018-10-04T23:00:00Z","2018-10-04 19:00:00",2018-10-04
"2018020006",2018-10-04,"20182019","R","Final","NSH","NYR","Madison Square Garden","2018-10-04T23:30:00Z","2018-10-04 19:30:00",2018-10-04
"2018020009",2018-10-04,"20182019","R","Final","CHI","OTT","Canadian Tire Centre","2018-10-04T23:30:00Z","2018-10-04 19:30:00",2018-10-04
"2018020010",2018-10-04,"20182019","R","Final","CBJ","DET","Little Caesars Arena","2018-10-04T23:30:00Z","2018-10-04 19:30:00",2018-10-04
"2018020011",2018-10-04,"20182019","R","Final","WPG","STL","Enterprise Center","2018-10-05T00:00:00Z","2018-10-04 20:00:00",2018-10-04
"2018020012",2018-10-04,"20182019","R","Final","ARI","DAL","American Airlines Center","2018-10-05T00:30:00Z","2018-10-04 20:30:00",2018-10-04
"2018020013",2018-10-04,"20182019","R","Final","MIN","COL","Pepsi Center","2018-10-05T01:00:00Z","2018-10-04 21:00:00",2018-10-04
"2018020014",2018-10-04,"20182019","R","Final","PHI","VGK","T-Mobile Arena","2018-10-05T02:00:00Z","2018-10-04 22:00:00",2018-10-04
"2018020015",2018-10-05,"20182019","R","Final","CAR","CBJ","Nationwide Arena","2018-10-05T23:00:00Z","2018-10-05 19:00:00",2018-10-05
"2018020016",2018-10-05,"20182019","R","Final","S.J","L.A","STAPLES Center","2018-10-06T02:30:00Z","2018-10-05 22:30:00",2018-10-05
"2018020020",2018-10-06,"20182019","R","Final","EDM","N.J","Scandinavium","2018-10-06T17:00:00Z","2018-10-06 13:00:00",2018-10-06
"2018020017",2018-10-06,"20182019","R","Final","NYR","BUF","KeyBank Center","2018-10-06T23:00:00Z","2018-10-06 19:00:00",2018-10-06
"2018020018",2018-10-06,"20182019","R","Final","OTT","TOR","Scotiabank Arena","2018-10-06T23:00:00Z","2018-10-06 19:00:00",2018-10-06
"2018020019",2018-10-06,"20182019","R","Final","FLA","T.B","Amalie Arena","2018-10-06T23:00:00Z","2018-10-06 19:00:00",2018-10-06
"2018020021",2018-10-06,"20182019","R","Final","NSH","NYI","Barclays Center","2018-10-06T23:00:00Z","2018-10-06 19:00:00",2018-10-06
"2018020022",2018-10-06,"20182019","R","Final","MTL","PIT","PPG Paints Arena","2018-10-06T23:00:00Z","2018-10-06 19:00:00",2018-10-06
"2018020023",2018-10-06,"20182019","R","Final","WPG","DAL","American Airlines Center","2018-10-06T23:00:00Z","2018-10-06 19:00:00",2018-10-06
"2018020024",2018-10-06,"20182019","R","Final","CHI","STL","Enterprise Center","2018-10-07T00:00:00Z","2018-10-06 20:00:00",2018-10-06
"2018020025",2018-10-06,"20182019","R","Final","VGK","MIN","Xcel Energy Center","2018-10-07T00:00:00Z","2018-10-06 20:00:00",2018-10-06
"2018020026",2018-10-06,"20182019","R","Final","PHI","COL","Pepsi Center","2018-10-07T01:00:00Z","2018-10-06 21:00:00",2018-10-06
"2018020027",2018-10-06,"20182019","R","Final","ANA","ARI","Gila River Arena","2018-10-07T01:00:00Z","2018-10-06 21:00:00",2018-10-06
